ADAMTSL5	ENSG00000185761	CCDS12071	uc002ltd.2
ADAP1	ENSG00000105963	CCDS5318, CCDS64576, CCDS64577, CCDS75558	uc003sjo.6
ADAP2	ENSG00000184060	CCDS86588, CCDS11261	uc002hfx.4
ADAR	ENSG00000160710	CCDS30879, CCDS1071	uc001ffh.4
ADARB1	ENSG00000197381	CCDS33589, CCDS42970, CCDS33590	uc002zgt.3
ADARB2	ENSG00000185736	CCDS7058	uc009xhq.4
ADAT1	ENSG00000065457	CCDS10922	uc002feo.3
ADAT2	ENSG00000189007	CCDS43511, CCDS69219	uc003qjj.4
ADAT3	ENSG00000213638	CCDS12076	uc002luh.5
ADCK1	ENSG00000063761	CCDS9869, CCDS45144	uc001xui.3
ADCK2	ENSG00000133597	CCDS5861	uc003vvy.2
ADCK5	ENSG00000173137	CCDS34965	uc003zch.5
ADCY1	ENSG00000164742	CCDS34631, CCDS75593	uc003tne.5
ADCY2	ENSG00000078295	CCDS3872	uc003jdz.2
ADCY3	ENSG00000138031	CCDS82424, CCDS1715	uc002rfs.5
ADCY4	ENSG00000129467	CCDS9627	uc001wox.3
ADCY5	ENSG00000173175	CCDS56274, CCDS3022	uc003egh.3
ADCY6	ENSG00000174233	CCDS8767	uc001rsh.5
ADCY7	ENSG00000121281	CCDS73882, CCDS10741	uc002egd.3
ADCY8	ENSG00000155897	CCDS6363	uc003ytd.5
ADCY9	ENSG00000162104	CCDS32382	uc002cvx.4
ADCY10	ENSG00000143199	CCDS53426, CCDS1265, CCDS72977	uc001ger.4
ADCYAP1	ENSG00000141433	CCDS11825	uc010dkh.5
ADCYAP1R1	ENSG00000078549	CCDS56480, CCDS56481, CCDS5433	uc003tca.3
ADD1	ENSG00000087274	CCDS43205, CCDS3364, CCDS3363, CCDS75094	uc003gfq.4
ADD2	ENSG00000075340	CCDS1909, CCDS54365, CCDS46318, CCDS1906	uc061kjo.1
ADD3	ENSG00000148700	CCDS7562, CCDS7561	uc001kyv.4
ADGRA1	ENSG00000197177	CCDS76362, CCDS41580	
ADGRA2	ENSG00000020181	CCDS6097	
ADGRA3	ENSG00000152990	CCDS33964	
ADGRB1	ENSG00000181790	CCDS64985	
ADGRB2	ENSG00000121753	CCDS72747, CCDS72746	
ADGRB3	ENSG00000135298	CCDS4968	
ADGRD1	ENSG00000111452	CCDS81753, CCDS9272	
ADGRE1	ENSG00000174837	CCDS58646, CCDS58645, CCDS58643, CCDS12175, CCDS58644	
ADGRE2	ENSG00000127507	CCDS32935, CCDS59361	
ADGRE3	ENSG00000131355	CCDS12315, CCDS74297, CCDS74296	
ADGRE5	ENSG00000123146	CCDS32930, CCDS32931, CCDS32929	
ADGRF1	ENSG00000153292	CCDS4920, CCDS34471	
ADGRF3	ENSG00000173567	CCDS46238, CCDS33159, CCDS46239	
ADGRF4	ENSG00000153294	CCDS4922	
ADGRF5	ENSG00000069122	CCDS4919	
ADGRG1	ENSG00000205336	CCDS32460, CCDS73893, CCDS32461	
ADGRG2	ENSG00000173698	CCDS55378, CCDS43923, CCDS55376, CCDS55377, CCDS55379, CCDS14191, CCDS43921, CCDS43922	
ADGRG3	ENSG00000182885	CCDS10786, CCDS76879	
ADGRG4	ENSG00000156920	CCDS35409	
ADGRG5	ENSG00000159618	CCDS10785	
ADGRG6	ENSG00000112414	CCDS47491, CCDS55064, CCDS47489, CCDS47490	
ADGRG7	ENSG00000144820	CCDS2938, CCDS77778	
ADGRL1	ENSG00000072071	CCDS32928, CCDS12307	
ADGRL2	ENSG00000117114	CCDS76174, CCDS689, CCDS81345, CCDS72811	
ADGRL3	ENSG00000150471	CCDS54768, CCDS82926	
ADGRL4	ENSG00000162618	CCDS41352	
ADGRV1	ENSG00000164199	CCDS47246	
ADH1A	ENSG00000187758	CCDS3648	uc003hur.3
ADH1B	ENSG00000196616	CCDS68761, CCDS34033	uc003hus.6
ADH1C	ENSG00000248144	CCDS54780	uc032trd.2
ADH4	ENSG00000198099	CCDS77942, CCDS34032	uc003hun.4
ADH5	ENSG00000197894	CCDS47111	uc003hui.5
ADH6	ENSG00000172955	CCDS3647, CCDS43255	uc003hup.5
ADH7	ENSG00000196344	CCDS54781	uc062ylg.1
ADHFE1	ENSG00000147576	CCDS6190	uc003xwb.5
ADI1	ENSG00000182551	CCDS77380, CCDS1653	uc002qxp.5
ADIG	ENSG00000182035	CCDS54461	uc002xjb.1
ADIPOQ	ENSG00000181092	CCDS3284	uc003fra.4
ADIPOR1	ENSG00000159346	CCDS1430	uc001gyq.7
ADIPOR2	ENSG00000006831	CCDS8511	uc001qjm.4
ADIRF	ENSG00000148671	CCDS7381	uc001ked.3
ADK	ENSG00000156110	CCDS55717, CCDS7343, CCDS7344, CCDS55716	uc001jwi.4
ADM	ENSG00000148926	CCDS7801	uc001mil.2
ADM2	ENSG00000128165	CCDS33682	uc003blj.4
ADM5	ENSG00000224420	CCDS46146	uc002pph.3
ADNP	ENSG00000101126	CCDS13433	uc002xvt.3
ADNP2	ENSG00000101544	CCDS32853	uc032hie.2
ADO	ENSG00000181915	CCDS7266	uc001jmg.4
ADORA1	ENSG00000163485	CCDS1434	uc057onx.1
ADORA2A	ENSG00000128271	CCDS13826	uc002zzy.6
ADORA2B	ENSG00000170425	CCDS11173	uc002gpd.2
ADORA3	ENSG00000282608	CCDS839, CCDS81358	uc001ebh.5
ADPGK	ENSG00000159322	CCDS42057	uc002avf.5
ADPRH	ENSG00000144843	CCDS2990	uc062mux.1
ADPRHL1	ENSG00000153531	CCDS9535, CCDS9536	uc001vtq.3
ADPRM	ENSG00000170222	CCDS11159	uc002gmt.4
ADPRS	ENSG00000116863	CCDS402	uc001bzt.4
ADRA1A	ENSG00000120907	CCDS83269, CCDS6053, CCDS6054, CCDS6052, CCDS34869	uc010lun.2
ADRA1B	ENSG00000170214	CCDS4347	uc003lxt.2
ADRA1D	ENSG00000171873	CCDS13079	uc002wkr.3
ADRA2A	ENSG00000150594	CCDS7569	uc001kzo.4
ADRA2B	ENSG00000274286	CCDS56129	uc032nvj.2
ADRA2C	ENSG00000184160	CCDS47004	uc003ghm.4
ADRB1	ENSG00000043591	CCDS7586	uc001lba.4
ADRB2	ENSG00000169252	CCDS4292	uc003lpr.3
ADRB3	ENSG00000188778	CCDS6099	uc003xkr.3
ADRM1	ENSG00000130706	CCDS74747, CCDS13496	uc002ycn.5
ADSL	ENSG00000239900	CCDS87029, CCDS14001, CCDS46714	uc003ayp.5
ADSS1	ENSG00000185100	CCDS9990, CCDS9991	uc001ypd.5
ADSS2	ENSG00000035687	CCDS1624	uc001iaj.4
ADTRP	ENSG00000111863	CCDS47374, CCDS4521	uc003nab.4
AEBP1	ENSG00000106624	CCDS5476	uc003tkb.5
